question,answer,answerKey
"Öğrenciler bir laboratuvarda iki fosili incelemektedir. Öğretmen tarafından fosillerin farklı kaya katmanlarında bulunduğu söyleniyor. Öğrenciler sadece fosilleri gözlemleyerek neyi büyük olasılıkla belirleyebilirler?
Şıklar:
A. her bir organizmanın nasıl öldüğü
B. fosillerin kesin yaşı
C. fosiller keşfedilme zamanı
D. organizmaların yaşadığı ortamın türü",organizmaların yaşadığı ortamın türü,D
"Dünya'nın Güneş'e olan uzaklığı, suyun organizmalar için kolayca erişilebilir olmasını sağlar. Bu organizmalar için suyun en önemli özelliği nedir?
Şıklar:
A. donma kabiliyeti
B. özgül ısı kapasitesi
C. sıvı olarak var olma yeteneği
D. yüksek yüzey gerilimi",sıvı olarak var olma yeteneği,C
"Hangi ifade bir madde türünün özelliğini doğru olarak tanımlar?
Şıklar:
A. Hava bir gaz karışımıdır.
B. Buz bir gaz karışımıdır.
C. Hava bir sıvıdır.
D. Buz bir sıvıdır.",Hava bir gaz karışımıdır.,A
"Hangi ifade bilimsel bir keşfin olumlu etkisini tanımlar?
Şıklar:
A. Bu bazı insanları üzer.
B. Yararlı olması uzun zaman alır.
C. İşlerin nasıl yürüdüğünü açıklamaya yardımcı olur.
D. İşin daha zor olmasına neden olur.",İşlerin nasıl yürüdüğünü açıklamaya yardımcı olur.,C
"Hangi doğa olayı en sık meydana gelir?
Şıklar:
A. gün doğumu
B. ekinoks
C. dolunay
D. güneş tutulması",gün doğumu,A
"Bir bilim adamı depremlerin oluştuğu uzun bir bölgenin haritasını çıkarır ve bu bölgenin bir dönüşüm plakası sınırı olduğunu belirler. Hangi kanıt bilim insanının bu tespiti yeniden değerlendirmesine neden olur?
Şıklar:
A. Volkanizma da bölgeyi karakterize etmektedir.
B. Bölgedeki deprem merkezleri sığ derinliklerde meydana gelmektedir.
C. Bölge, tortullarda geniş çaplı faylanma göstermektedir.
D. Bölgenin karşıt taraflarında eşit kabuk yoğunlukları bulunur.",Volkanizma da bölgeyi karakterize etmektedir.,A
"Birbirlerinin hemen yanında olsalardı, güneşin farklı büyüklükteki bir yıldızla nasıl karşılaştırılabileceğini en iyi hangisi açıklar?
Şıklar:
A. Güneş, ortalama bir yıldızın yanında devasa kalırdı.
B. Güneş, en büyük yıldızlardan birinin yanında küçücük kalırdı.
C. Güneş, ortalama bir yıldızın yanında son derece parlak olurdu.
D. Güneş, en küçük yıldızlardan birinin yanında çok sönük kalırdı.","Güneş, en büyük yıldızlardan birinin yanında küçücük kalırdı.",B
"Güneş sistemi hakkında hangi ifade doğrudur?
Şıklar:
A. Gaz gezegenler Güneş'e daha yakındır.
B. Katı gezegenler Güneş'e daha yakındır.
C. Gezegenler artan büyüklük sırasına göre düzenlenmiştir.
D. Katı gezegenler gaz gezegenlerden çok daha büyüktür.",Katı gezegenler Güneş'e daha yakındır.,B
"Bir bitkideki fotosentetik hücrelerin temel işlevi nedir?
Şıklar:
A. oksijeni karbondioksite dönüştürmek
B. şekeri kullanılabilir kimyasallara dönüştürmek
C. güneş ışığından gelen enerjiyi gıda enerjisine dönüştürmek
D. karbondioksitin bitkiye geçişine izin vermek",güneş ışığından gelen enerjiyi gıda enerjisine dönüştürmek,C
"Hidrolik ve pnömatik sistemler arasındaki temel fark aşağıdakilerden hangisidir?
Şıklar:
A. Hidrolik sistemler basınç altındadır, pnömatik sistemler ise basınç altında değildir.
B. Hidrolik sistemler sıvıları, pnömatik sistemler ise gazları içerir.
C. Hidrolik sistemler açık sistemler, pnömatik sistemler ise kapalı sistemlerdir.
D. Hidrolik sistemler hareket halindeki sıvıları, pnömatik sistemler ise hareketsiz sıvıları içerir.","Hidrolik sistemler sıvıları, pnömatik sistemler ise gazları içerir.",B
"İlkbaharda ve yaz başında ayılar kış kürklerini çıkarmak için genellikle sırtlarını ağaçlara yaslarlar. Bu bir ___ hayvan örneğidir.
Şıklar:
A. yaşam döngüsünü tamamlayan
B. kış uykusu başlangıcında olan
C. çevresine yanıt veren
D. göç için hazırlık yapan",çevresine yanıt veren,C
"Hangi olay günde bir kez gerçekleşir?
Şıklar:
A. Ay doğumu
B. Yeni Ay
C. Ay'ın evrelerinde bir tur atması
D. Ay'ın Güneş'in önünden geçmesi",Ay doğumu,A
"Proton sayısı 6, nötron sayısı 7 ve elektron sayısı 6 olan bir karbon atomunun kütlesi nedir?
Şıklar:
A. 6
B. 7
C. 13
D. 19",13,C
"Bir ses dalgasının hızı, farklı maddelerden geçerken değişir. Bir ses dalgasının hızını en çok hangi faktör etkiler?
Şıklar:
A. dalganın frekansı
B. dalganın dalga boyu
C. sesi yaratan kaynak
D. ortamdaki moleküller arasındaki mesafe",ortamdaki moleküller arasındaki mesafe,D
"Bir çocuk dik, karla kaplı bir tepeden aşağı kızakla inerken meydana gelen enerji değişimlerini en iyi hangi ifade açıklar?
Şıklar:
A. Kinetik enerji azalır ve potansiyel enerji artar.
B. Kinetik enerji artar ve potansiyel enerji azalır.
C. Hem potansiyel enerji hem de kinetik enerji azalır.
D. Hem potansiyel enerji hem de kinetik enerji artar.",Kinetik enerji artar ve potansiyel enerji azalır.,2
"Tuzu sudan ayırmanın en iyi yolu aşağıdakileri kullanmaktır
Şıklar:
A. Yağ.
B. ısı.
C. bir mıknatıs.
D. ispirto.",ısı.,B
"Amerika Birleşik Devletleri'nin topografyasını belirlemek için en iyi ekipman hangisidir?
Şıklar:
A. radar
B. pusula
C. uydu
D. radyo",uydu,C
"Bir bardak suyun ne kadar sürede kaynaması gerektiğini belirlemek için hangi aracı kullanmak en iyisidir?
Şıklar:
A. terazi
B. sıcak plaka
C. kronometre
D. termometre",kronometre,C
"Bilim insanları, organizmaların ne kadar yakın akraba olduklarını belirlemek için aşağıdakilerden biri dışında tümünü dikkate alırlar
Şıklar:
A. embriyonik yapılar.
B. homolog yapılar.
C. benzer yapılar.
D. körelmiş yapılar.",benzer yapılar.,C
"Hangisi öğrenilmiş bir davranış örneğidir?
Şıklar:
A. Bir kaplanın bir geyiği avlaması
B. Bir farenin çakaldan kaçması
C. Bir somonun nehirde göç etmesi
D. Bir ağaçkakanın böcek bulmak için ağaca vurması",Bir kaplanın bir geyiği avlaması,A
"20 g sıvı hidrojen peroksitin ısıtıldığını ve böylece tamamen sıvı su ve oksijen gazına dönüştüğünü varsayalım. Üretilen su ve oksijenin toplam kütlesini en iyi hangisi tanımlar?
Şıklar:
A. ısı ilavesi nedeniyle 20 g'dan fazla
B. 20 g'dan daha fazla çünkü artık iki madde var
C. oksijen gazı çok hafif olduğu için 20 g'dan daha az
D. 20 g çünkü hiçbir madde eklenmemiş veya çıkarılmamıştır",20 g çünkü hiçbir madde eklenmemiş veya çıkarılmamıştır,D
"Havanın rengi yoktur ve görülemez, ancak yine de yer kaplar. Havanın yer kapladığını göstermek için ne yapılabilir?
Şıklar:
A. bulutların oluşumunu gözlemlemek
B. hava sıcaklığını ölçmek
C. bir plaj topunu veya balonu şişirmek
D. Bir bardağı su ile doldurmadan önce ve doldurduktan sonra tartmak",bir plaj topunu veya balonu şişirmek,C
"Helens Yanardağı'nın oluşumuna büyük olasılıkla hangi jeolojik süreç neden olmuştur?
Şıklar:
A. yakınlaşan sınırlar
B. farklılaşan sınırlar
C. dönüşüm hataları
D. yarık bölgeleri",yakınlaşan sınırlar,A
"Hangi örnek bir canlı ile cansız arasındaki ilişkiyi gösterir?
Şıklar:
A. Bir böcek somon balığı için besindir.
B. Su bir kayayı aşağıya taşır.
C. Bir ağaç havadaki bir gazı temizler.
D. Bir çiçek bir kelebek için yiyecek yapar.",Bir ağaç havadaki bir gazı temizler.,C
"Voyager ve Galileo uzay araçlarından gelen görüntüler, Europa'nın buzdan bir yüzeyin altında sıvı bir okyanusa sahip olduğunu ve bunun kısmen hangi olaylar tarafından üretilen ayırt edici, yüzey çatlama desenlerinden kaynaklandığını kanıtlamaktadır?
Şıklar:
A. volkanik patlamalar
B. tektonik hareketler
C. asteroit çarpmaları
D. güneş patlamaları",asteroit çarpmaları,C
"Dünya üzerindeki tüm doğal kaynaklar ya yenilenebilir ya da yenilenemezdir. Bir kaynağın yenilenebilir veya yenilenemez olması, kaynağın ne kadar hızlı veya yavaş değiştirildiğine bağlıdır. Eğer kaynak, yerine konulandan daha hızlı kullanılırsa, kaynak zamanla yok olacaktır. Hangi faaliyet yenilenemeyen bir doğal kaynağın kullanımını göstermektedir?
Şıklar:
A. Bir grup insan nehirde yüzüyor.
B. Bir inşaat ekibi demir bir köprü inşa ediyor.
C. Bir çiftçi yerel bir pazarda satmak üzere sebze yetiştiriyor.
D. Bir kişi hidroelektrik santralinin ürettiği elektrikle kek pişiriyor.",Bir inşaat ekibi demir bir köprü inşa ediyor.,B
"Bilim insanları birkaç farklı coğrafi bölgede büyük ağızlı levrek popülasyonlarını inceledi. Her popülasyondaki balıkların boyutu, sayısı ve ağırlığı hakkında bilgi kaydettiler. Bu verileri kaydetmek için aşağıdakilerden hangisi en uygun olacaktır?
Şıklar:
A. bir harita
B. bir diyagram
C. bir çizelge
D. bir grafik",bir çizelge,C
"Bir çubuk mıknatıs, bakır telden bir bobin içinde hızla ileri geri hareket ettirildi. Telin uçları küçük bir ampule bağlandı. Bu cihaz aşağıdakilerden hangisi için üretilmiştir?
Şıklar:
A. elektrik akımı üretmek için
B. mıknatısın gücünü artırmak için
C. bakır teli ısıtmak için
D. protonları ampule aktarmak için",elektrik akımı üretmek için,A
"Aşağıdaki özelliklerden hangisi çevreden en çok etkilenir?
Şıklar:
A. Vücut ağırlığı
B. Göz rengi
C. Kan grubu
D. Renk körlüğü",Vücut ağırlığı,A
"Aşağıdaki eylemlerden hangisi m_{1} ve m_{2} kütleleri arasındaki çekim kuvvetini en büyük miktarda artırır?
Şıklar:
A. m_{1} kütlesini yarıya indirin ve m_{1} ile m_{2} arasındaki mesafeyi yarıya indirmek
B. m_{1} kütlesini yarıya indirin ve m_{1} ile m_{2} arasındaki mesafeyi iki katına çıkarmak
C. m_{1} kütlesini iki katına çıkarın ve m_{1} ile m_{2} arasındaki mesafeyi yarıya indirmek
D. m_{1} kütlesini iki katına çıkarın ve m_{1} ile m_{2} arasındaki mesafeyi iki katına çıkarmak",m_{1} kütlesini iki katına çıkarın ve m_{1} ile m_{2} arasındaki mesafeyi yarıya indirmek,C
"Aşağıda gösterilen tepkimedeki ürünler nelerdir? HCl + NaOH ->
Şıklar:
A. Na + Cl_{2}
B. NaCL + OH
C. NaOH + Cl
D. NaCl + H_{2}O",NaCl + H_{2}O,D
"Orman ağaçlarının yapraklarının çoğu neden ağacın tepesinde büyür?
Şıklar:
A. tohum saçmak için
B. güneş ışığını yakalamak için
C. gövdeyi gölgelemek için
D. su toplamak için",güneş ışığını yakalamak için,B
"Gaz değişimi, diyafram ve nefes alma terimleri insan vücudundaki hangi sistemle en yakından ilişkilidir?
Şıklar:
A. dolaşım
B. Sindirim
C. boşaltım
D. solunum",solunum,D
"Balıklarda bulunan aşağıdaki organlardan hangisi insan akciğeri ile aynı işleve sahiptir?
Şıklar:
A. böbrek
B. kalp
C. solunga.
D. cilt",solunga.,C
"Dominic mikroskop altında bir volvox kolonisi ve bir paramesyum gözlemliyor. Günlüğüne volvox kolonisi ve paramesyumun benzer olduğunu çünkü hareket için birçok organele sahip olduklarını not ediyor. Dominic bir volvox kolonisi ve bir paramesyumun hareketi hakkında en çok neyi fark eder?
Şıklar:
A. İkisi de aynı hızda hareket eder.
B. İkisi de ışıktan uzaklaşır.
C. İkisi de aynı yönde hareket eder.
D. İkisi de bir enerji kaynağına doğru hareket eder.",İkisi de bir enerji kaynağına doğru hareket eder.,D
"Eşeyli üreme neden eşeysiz üremeye göre daha fazla genetik çeşitliliğe yol açar?
Şıklar:
A. İki ebeveynden gelen özellikler birleştirilir.
B. Bu şekilde daha fazla organizma ürer.
C. Yavrular farklı ortamlarda büyür.
D. Yavrular aynı ebeveynlerden gelir.",İki ebeveynden gelen özellikler birleştirilir.,A
"Bazı öğrenciler çeşitli maddeler üzerinde sertlik testleri yapmaktadır. X, Y'yi çiziyor. Y, Z'yi çiziyor. Z, W'yi çiziyor. Bu ifadelerden hangisi W maddesinin sertliğini en iyi şekilde tanımlar?
Şıklar:
A. W, test edilen dört madde arasında en yumuşak olanıdır.
B. W, test edilen dört madde arasında en sert olanıdır.
C. W, Y'yi çizebilir.
D. W, X'i çizebilir.","W, test edilen dört madde arasında en yumuşak olanıdır.",A
"Bilim insanları dağ vadilerindeki ürünlerin verimliliğini incelemişlerdir. Bazı bölgelerde vadiler diğerlerine göre daha verimlidir. Dağ vadilerindeki bazı alanların yüksek verimliliğinin nedeni büyük olasılıkla hangi faktördeki artıştır?
Şıklar:
A. toprakların süzülmesi
B. buharlaşma oranları
C. yağmurlardan kaynaklanan akış
D. güneş ışığı miktarları",yağmurlardan kaynaklanan akış,C
"Okyanus suyundaki tuz aşağıdakilerden biri dışında hepsinden gelir
Şıklar:
A. aşınan topraklar.
B. eriyen buzul buzu.
C. volkanik emisyonlar.
D. deniz tabanındaki reaksiyonlar.",eriyen buzul buzu.,B
"Yağmur fırtınalarının birincil nedeni nedir?
Şıklar:
A. Dünya Güneş tarafından ısıtılır.
B. Dağlar nemli havayı yukarı doğru yönlendirir.
C. Su soğutulduğunda damlacıklar oluşturur.
D. Dünya'nın büyük bir kısmı suyla kaplıdır.",Dünya Güneş tarafından ısıtılır.,A
"Dünya'daki bahçe bitkileri hayatta kalmak için dört kaynağa ihtiyaç duyar: toprak, hava, su ve güneş ışığı. Ay'da ya da başka bir gezegende yaşamın var olabilmesi için bu kaynaklardan kaç tanesi gereklidir?
Şıklar:
A. 4
B. 3
C. 2
D. 1",4,A
"Alüminyum vidaları çelik vidalardan ayıran bir öğrenci için en yararlı olanı hangisidir?
Şıklar:
A. büyük bir huni
B. bir elek filtre
C. bir at nalı mıknatısı
D. bir büyüteç",bir at nalı mıknatısı,C
"Bazı bilim insanları sera gazlarının Dünya'nın iklimini değiştirmesiyle kasırgaların sayısının ve şiddetinin artacağını öngörmektedir. Bunun gerçekleşmesi için, iklim değişikliğinin ___ değiştirerek Dünya'yı etkilemesi gerekir.
Şıklar:
A. okyanusların derinliklerini
B. okyanuslardaki akıntıların hızını
C. okyanusların kimyasal bileşimlerini
D. okyanuslardaki çözünmüş oksijen miktarını",okyanuslardaki akıntıların hızını,B
"Uzun bir süre boyunca, bir nehirdeki akan su nehir yatağını aşındırır. Bu erozyon nehrin
Şıklar:
A. akmayı kesmesine neden olur.
B. dalgalar yaratmasına neden olur.
C. daha hızlı ve daha temiz hareket etmesine neden olur.
D. derinleşmesine ve genişlemesine neden olur.",derinleşmesine ve genişlemesine neden olur.,D
"Hangisi bilim insanlarının koruma terimini kullandıklarında neye atıfta bulunduklarını en iyi açıklar?
Şıklar:
A. çevrenin cansız kısımları
B. çevrede yaşayan organizmalar
C. çevredeki canlı organizmaların sağlığı
D. kaynakların korunması, yönetimi ve yenilenmesi","kaynakların korunması, yönetimi ve yenilenmesi",D
"Güneş sistemimizdeki hangi nesneler kendi ışıklarını yayarlar?
Şıklar:
A. sadece Güneş
B. Güneş ve Ay
C. Güneş, Ay ve bazı gezegenler
D. Güneş, Ay, bazı gezegenler ve kuyruklu yıldızlar",sadece Güneş,A
"Bir öğrenci iki farklı hücreye ait diyagramları incelemiştir. Hücrelerden biri prokaryotik, diğeri ise ökaryotikti. Öğrenci diyagramlar arasındaki önemli bir farkı belirlemek için ne yapmalıdır?
Şıklar:
A. iki hücrenin şekillerini karşılaştırın
B. hangi diyagramın bir çekirdeği gösterdiğini kontrol edin
C. hangi diyagramın sitoplazmayı gösterdiğini kontrol edin
D. iki hücredeki koful sayısını karşılaştırın",hangi diyagramın bir çekirdeği gösterdiğini kontrol edin,B
