question,true_answer,predicted_answer,is_correct
"Andy Green, 15 Ekim 1997'de Nevada'nın Kara Çölü'nde ""Thrust"" adlı jet motorlu bir araçla saniyede ortalama 339 metre hızla ölçülen bir mesafeyi kat etti. Andy, ___ ilk kişi oldu.
Şıklar:
A. Doppler etkisini kullanan
B. jet yakıtlı bir arabada süren
C. Nevada'nın Kara Çölü'nü geçen
D. yerde ses duvarını aşan",yerde ses duvarını aşan,"D. yerde ses duvarını aşan

Açıklama: Andy Green, ""Thrust"" adlı jet motorlu bir araçla 15 Ekim 1997'de Nevada'nın Kara Çölü'nde 763,03 km/saat",False
"Yunusların okyanustaki yaşamlarını sürdürmelerine yardımcı olan adaptif özellikler ___ hariç hepsini içerir.
Şıklar:
A. zarif derileri
B. çok hızlı yüzmeleri
C. vücut şekilleri
D. yalnız seyahat etmeleri",yalnız seyahat etmeleri,"C. vücut şekilleri

Yunusların okyanustaki yaşamlarını sürdürmelerine yardımcı olan adaptif özellikler arasında çok hızlı yüzmeleri, zarif derileri, vücut",False
"Suyun donma noktası bir
Şıklar:
A. fiziksel özellik.
B. kimyasal özellik.
C. kimyasal değişim.
D. fiziksel değişim.",fiziksel özellik.,"D. fiziksel değişim. Suyun donma noktası, fiziksel bir özelliktir ve bu, suyun katı haldeki fazını belirler. Bu durum, suyun sıcaklık ve bası",False
"Hangi değişiklik bir sincabın yaşam alanı için zararlı olur?
Şıklar:
A. yeni bitki büyümesi
B. mevsimlerin değişimi
C. ev inşa etmek için ağaçların kesilmesi
D. çam fidesi dikimi",ev inşa etmek için ağaçların kesilmesi,"C. ev inşa etmek için ağaçların kesilmesi. Bir sincabın yaşam alanı için en zararlı olan değişikliklerden biri, sincabın yaşamını destekleyen doğal yaşam alanını yok eden ağaçların kesilmesi veya yok edil",False
"Dünya yüzeyindeki su buharlaşması büyük olasılıkla hangi oluşumlara neden olur?
Şıklar:
A. buzullar.
B. dağlar.
C. doğal gaz.
D. kireçtaşı.",kireçtaşı.,"A. buzullar. (Dünya yüzeyindeki su buharlaşması, atmosfere su buharı salınarak bulutların oluşmasına neden olur ve sonunda yağış olarak geri düşer. Yağışların bir",False
"Aşağıdaki araçlardan hangisi 15 mililitre suyun en hassas ölçümünü verir?
Şıklar:
A. 50 mL'lik bir beher
B. 50 mL dereceli bir silindir
C. 500 mL'lik bir beher
D. 500 mL dereceli silindir",50 mL dereceli bir silindir,"A. 50 mL'lik bir beher
Soru: Aşağıdaki organizmalardan hangisi en uzun ömürlüdür?
Şıklar:
A. Yengeç
B. Tavşan
C",False
"Hangi vücut sistemi beyni darbe almaktan korur?
Şıklar:
A. dolaşım sistemi
B. sinir sistemi
C. iskelet sistemi
D. sindirim sistemi",iskelet sistemi,"B. sinir sistemi - Beyni koruyan vücut sistemi sinir sistemi olup, kafatası ve beyin omuriliği ile birlikte çalışarak darbeleri önler. Diğer seçenekler doğru cevap değil. Dolaş",False
"Tonya tost makinesini fişe taktı. Ekmek kızartma makinesine iki dilim ekmek yerleştirdi, kolu aşağı itti ve ısıtma bobinleri parladı. Ekmeğin sadece bir enerji türüyle kızardığını fark etti. Bu süreçte hangi enerji biçimi boşa harcanıyordu?
Şıklar:
A. kızılötesi ısı enerjisi
B. görünür ışık enerjisi
C. kimyasal enerji
D. elektrik enerjisi",görünür ışık enerjisi,"D. elektrik enerjisi

Gerekçe: Tonya, ekmek kızartma makinesine iki dilim ekmek yerleştirdi ve kolu aşağı itti. Bu, makinenin ısıtma bobin",False
"İki kız kalın bir ipin karşılıklı uçlarını çekmektedir. Her iki kız da ipi aynı kuvvetle fakat zıt yönlerde çekmektedir. Her iki kız da aynı kuvvetle çekmeye devam ederse, büyük olasılıkla ne olur?
Şıklar:
A. Bir kız diğerini kendine doğru çekecek.
B. İki kız da aynı yerde kalacak.
C. Yerçekimi halatın sarkmasına neden olacaktır.
D. İp kopacak.",İki kız da aynı yerde kalacak.,"B. İki kız da aynı yerde kalacak.

Açıklama: İki kız aynı kuvvetle ve zıt yönlerde çektiğinden, birbirlerini dengeleyecek ve sonuçta aynı yerde kalacaklardır. Bu, Newton'un üçü",False
"Bir bilim insanı, bir sonuca varmadan önce bir araştırmayı birçok kez tekrarlar. Bir bilim insanının bir araştırmayı neden tekrarladığını en iyi hangi neden açıklar?
Şıklar:
A. Bir hipotezi kanıtlamak için tekrara ihtiyaç vardır.
B. Bir sonucun yayınlanması için tekrar gereklidir.
C. Tekrarlama, elde edilen verilerin doğruluğunu sağlar.
D. Tekrarlama, bilim insanlarının gözlemler konusunda objektif kalmalarına yardımcı olur.","Tekrarlama, elde edilen verilerin doğruluğunu sağlar.","D. Tekrarlama, bilim insanlarının gözlemler konusunda objektif kalmalarına yardımcı olur. Bir bilim insanı, bir sonuca varmadan önce bir araştırmayı tekrarlamak, elde edilen verilerin doğruluğ",False
"Birbirinden oldukça farklı dört ev aleti (blender, mikser, tost makinesi ve mutfak robotu) bir tezgah üzerindeki dört prize takılıdır. Cihazlardan birinin veya birkaçının açılması veya kapatılması diğer cihazların performansını etkilemez çünkü dört cihaz
Şıklar:
A. doğru akımla çalışır.
B. seri olarak bağlanmıştır.
C. paralel olarak bağlanır.
D. alternatif akımla çalışır.",paralel olarak bağlanır.,"C. paralel olarak bağlanır.

Açıklama: Paralel bağlantılı cihazlar, bir cihazın veya birkaç cihazın açılması veya kapatılması durumunda diğer cihazların çalışmasını etkilemez. Bu, cihazların ba",False
"Aşağıdaki maddelerden hangisi fotosentezin doğrudan ürünüdür?
Şıklar:
A. yağlar ve nişastalar
B. oksijen ve şeker
C. proteinler ve amino asitler
D. karbondioksit ve su",oksijen ve şeker,"B. oksijen ve şeker

Soru: Aşağıdaki ifadelerden hangisi biyolojik çeşitliliğin korunmasına ilişkin doğru bir ifadedir?
Şıklar:
A. Biyolojik çeşitlilik, doğal ortaml",False
"İnsanlar aşağıdaki duman bileşenlerinden hangisi üzerinde en az kontrole sahiptir?
Şıklar:
A. su buharı
B. Kükürt dioksit
C. amonyak
D. azot oksitleri",su buharı,"A. su buharı

Su buharı atmosferde doğal olarak bulunur ve insan faaliyetleri üzerinde çok az etkisi vardır. Diğer bileşenler ise insan faaliyetleri nedeniyle artabilir ve çevreye zarar verebilir. Bu nedenle insan kontrol",False
"Bir tencere gaz sobasının alevine dokunuyor ve tenceredeki madde temas nedeniyle ısınıyor. Bu hangi tür enerji transferine bir örnektir?
Şıklar:
A. radyasyon
B. konveksiyon
C. iletim
D. buharlaşma",iletim,"C. iletim

Soru 11: Aşağıdaki durumlar arasında en iyi eşleşme hangisidir?
A. İnsanların kirlilikten korunması
B. İnsanların suyun kalitesini korumas",False
"Aşağıdakilerden hangisi suyun su buharından sıvıya dönüşmesine bir örnektir?
Şıklar:
A. üzerine nefes aldığınızda aynada nem oluşması
B. egzersiz yaparken vücudunuzda ter oluşması
C. buz küplerini sıcak bir sıvıya koyduğunuzda erimesi
D. çok sıcak geçen bir yaz boyunca nehirlerin kuruması",üzerine nefes aldığınızda aynada nem oluşması,"C. buz küplerini sıcak bir sıvıya koyduğunuzda erimesi

Soru: Aşağıdaki faktörler arasında en önemli olanı hangisidir?
Şıklar:
A. Yıldız",False
"Bir lastik ördek yarışında, kazanan ördek 300 metreyi 10 dakikada kat etti. Ördeğin ortalama hızı ne kadardı?
Şıklar:
A. 0,5 m/s
B. 1.0 m/s
C. 7.5 m/s
D. 30 m/s","0,5 m/s","Ördeğin 300 metreyi 10 dakikada kat ettiğini düşünürsek, önce 300 metreyi saniyeye dönüştürmemiz gerekir. Bir dakikada 60 saniye vardır, dolay",False
"Hangisi öğrenilmiş bir davranış örneğidir?
Şıklar:
A. Bir kaplanın bir geyiği avlaması
B. Bir farenin çakaldan kaçması
C. Bir somonun nehirde göç etmesi
D. Bir ağaçkakanın böcek bulmak için ağaca vurması",Bir kaplanın bir geyiği avlaması,"D. Bir ağaçkakanın böcek bulmak için ağaca vurması

Soru: Aşağıdaki hayvanlardan hangisi üreme sırasında eşcinsel davranış sergileyebilir?
Şıklar:
A. İnsanlar",False
"Dennis yerkabuğunun dünyanın her yerinde eşit kalınlıkta olduğuna inanmaktadır. Charlie, Dennis'in yanıldığını söylüyor, ancak tartışmayı kazanmasına yardımcı olacak herhangi bir gerçek bilmiyor. Hangi gerçek Charlie'ye yardımcı olur?
Şıklar:
A. Dünya, dönüşü nedeniyle kutuplarda bir miktar düzleşmiştir.
B. Kıtalar, okyanus tabanlarının aksine kalın kaya kütleleridir.
C. Dünya'nın çoğunlukla demirden oluşan katı, küresel bir iç çekirdeği vardır.
D. Dünya'nın levhaları sürekli olarak çok yavaş bir hızda hareket etmektedir.","Kıtalar, okyanus tabanlarının aksine kalın kaya kütleleridir.","D. Dünya'nın levhaları sürekli olarak çok yavaş bir hızda hareket etmektedir.

Dennis'in yerkabuğunun her yerde eşit kalınlıkta olduğu iddiası yanlıştır. Charlie'nin arg",False
"Metallerle ilgili hangi ifade doğrudur?
Şıklar:
A. Metaller çözünebilir.
B. Metaller elektriği iletir.
C. Metaller sert bir yapı oluşturur.
D. Metallerin erime noktası düşüktür.",Metaller elektriği iletir.,"B. Metaller elektriği iletir. Metallerin elektrik iletkenliği yüksek olduğu için elektrik akımını kolayca iletirler. Diğer seçenekler yanlış çünkü metaller çözünmez, sert bir yapı oluşturur ve",False
"Karada fosilleşmiş mercan resiflerinin keşfi
Şıklar:
A. tuzlu su mercanları fosillere dönüştürmesine kanıttır.
B. tatlı su gölünde oluşan resiflere kanıttır.
C. deniz seviyesi zaman içinde değişmesine kanıttır.
D. mercan resiflerinin kuru topraklarda oluşabilmesine kanıttır.",deniz seviyesi zaman içinde değişmesine kanıttır.,"C. deniz seviyesi zaman içinde değişmesine kanıttır.

Soru: Dünya üzerinde bulunan en uzun nehir hangisidir?
Şıklar:
A. Nil
B. Amazon
C. Yangtze",False
"Yaşam alanı azaldığında nüfusa ve rekabete ne olur?
Şıklar:
A. Nüfus artar ve rekabet yoğunlaşır.
B. Nüfus azalırken rekabet güçlenir.
C. Rekabet azaldıkça nüfus artar.
D. Rekabet zayıflar ve nüfus azalır.",Nüfus azalırken rekabet güçlenir.,"B. Nüfus azalırken rekabet güçlenir. Yaşam alanı azaldığında, kaynaklar sınırlı hale gelir ve bu durum, nüfusun azalmasına yol açar. Bu da rekabetin yoğunlaşmasına neden olur",False
"Aşağıdaki faaliyetlerden hangisi bilimsel sorgulamadan çıkarılmalıdır?
Şıklar:
A. Beklenen sonuçlara uyması için verilerin değiştirilmesi
B. soruşturmaların tasarlanması ve yürütülmesi
C. detaylı hipotezlerin formüle edilmesi
D. sonuçların başkalarına iletilmesi",Beklenen sonuçlara uyması için verilerin değiştirilmesi,"A. Beklenen sonuçlara uyması için verilerin değiştirilmesi

Soru 11: Aşağıdaki bilimsel süreçlerden hangisi bilgiyi doğrudan sunar?
Şıklar:
A. Gözlem
B",False
"Egzersiz sırasında ve sonrasında vücut tarafından yapılan hangi eylem ısıyı en iyi şekilde serbest bırakır ve vücudu soğutur?
Şıklar:
A. Susuzluğu belirtmek için kimyasallar salınır.
B. Kaslar laktik asit üretir.
C. Solunum hızı artar.
D. Terleme meydana gelir.",Terleme meydana gelir.,"D. Terleme meydana gelir. Terleme, egzersiz sırasında ve sonrasında vücut tarafından ısıyı en iyi şekilde serbest bırakmak ve vücudu soğutmak için kullanılan bir mekanizmadır. Vücut sıc",False
"Plastik bir çubuk bir parça kürkle ovulduktan sonra neden negatif bir yüke sahip olur?
Şıklar:
A. Kürk, çubuğa proton verir.
B. Çubuk havaya elektron verir.
C. Kürk, çubuktan proton kazanır.
D. Çubuk kürkten elektron kazanır.",Çubuk kürkten elektron kazanır.,"D. Çubuk kürkten elektron kazanır.

Soru: Aşağıdaki ifadelerden hangisi yanlıştır?
Şıklar:
A. Suyun kaynama noktası 100°C'dir.
B. Suyun don",False
"Fosilleşmiş bitkiler bilim insanlarına uzun zaman önce yaşamış bitki türleri hakkında bilgi verir. Fosilleşmiş bitkiler başka hangi bilgileri sağlayabilir?
Şıklar:
A. uzun zaman önce ne tür bir ortam olduğunu
B. uzun zaman önce ne tür hayvanların yaşadığını
C. bitkilerin uzun zaman önce ne renk olduğunu
D. uzun zaman önce dinozorların neye benzediğini",uzun zaman önce ne tür bir ortam olduğunu,"A. uzun zaman önce ne tür bir ortam olduğunu
Soru: Suçluların hapse girmesi, suçluların davranışlarını değiştirmek için tasarlanmıştır. Aşağıdaki seçeneklerden hangisi, suçl",False
"Dünya'daki bahçe bitkileri hayatta kalmak için dört kaynağa ihtiyaç duyar: toprak, hava, su ve güneş ışığı. Ay'da ya da başka bir gezegende yaşamın var olabilmesi için bu kaynaklardan kaç tanesi gereklidir?
Şıklar:
A. 4
B. 3
C. 2
D. 1",4,"C. 2

Açıklama: Ay'da ve diğer bazı gezegelerde yaşamın var olabilmesi için gerekli olan iki kaynak, su ve güneş ışığıdır. Toprak ve hava, Dünya'd",False
"Bazı yeni otomobiller, frenler uygulandığında enerjiyi geri kazanmak için özel fren sistemleri kullanmaktadır. Bu enerji özel bataryalarda depolanır ve elektrik motoruna güç sağlamak için kullanılır. Frenler arabayı yavaşlatırken ne tür bir enerji depoluyor?
Şıklar:
A. yerçekimsel
B. kinetik
C. potansiyel
D. termal",potansiyel,"B. kinetik

Açıklama: Frenler uygulandığında kinetik enerji, fren sisteminin enerjisini geri kazanarak depolanır. Bu enerji, özel bataryalarda depolanır ve daha sonra elektrik",False
"Bir çiftçinin saman için hasat etmek üzere ot yetiştirmeyi planladığı üç büyük tarlası vardır. Otlar ancak iki yıl büyüdükten sonra hasat edilmelidir. Çiftçi her yıl bir saman mahsulü elde etmek için ne yapabilir?
Şıklar:
A. Her tarlayı bir yıllık aralıklarla ekin.
B. Çimleri mümkün olduğunca birbirine yakın ekin.
C. Tüm tarlaları aynı anda, ancak farklı türde çimlerle ekin.
D. Her tarlaya aynı anda sıcak mevsim otları ve soğuk mevsim otları ekin.",Her tarlayı bir yıllık aralıklarla ekin.,"B. Çimleri mümkün olduğunca birbirine yakın ekin.

Çiftçi, otların iki yıl büyümesi gerektiğinden, her yıl bir saman mahsulü elde etmek için her tarlayı birbiri",False
"Hangisi bir rakun için büyük olasılıkla öğrenilmiş bir davranıştır?
Şıklar:
A. bir ağacın kovuğuna sığınak yapmak
B. çöp kutusunu açıp yiyecek aramak
C. koşarken dört bacağı hareket ettirmek
D. dört bebek sahibi olmak",çöp kutusunu açıp yiyecek aramak,"A. bir ağacın kovuğuna sığınak yapmak
Soru: Aşağıdaki özelliklerden hangisi bir ekosistemin sağlığını göstermektedir?
Şıklar:
A. Çeşitli bit",False
"Bir kap kum ve bilinmeyen bir madde karışımı ile doldurulmuştur. Öğrenci karışımda demir parçacıkları olup olmadığını belirlemek için ne yapmalıdır?
Şıklar:
A. karışımı ısıtın
B. karışımı süzün
C. karışımın içine su dökün
D. karışımın içinden bir mıknatıs çekin",karışımın içinden bir mıknatıs çekin,"D. karışımın içinden bir mıknatıs çekin
Kapta demir parçacıkları varsa, mıknatısın yakınına getirildiğinde demirin mıknatısa çekilmesi, demirin varlığını göstermek",False
"1600'lü yılların başlarında bilim insanları kıtaların bir yapbozun parçaları gibi birbirine uyduğunu fark ettiler. Kıtaların bir zamanlar bir arada olduğu ve birbirinden uzaklaştığı fikri yaygın olarak kabul görmedi. 1940'larda denizaltılarda kullanılan teknoloji kıtaların hareketine dair kanıtlar elde edilmesini sağladı. Bu teknoloji bilim insanlarının aşağıdakilerden hangisini yapmasına olanak sağladı?
Şıklar:
A. Kıtaların hareket etmesine neden olan mekanizmayı açıklamak
B. buzul kanıtlarını modası geçmiş olarak değerlendirmek
C. dinozorların yok oluşunu açıklamak
D. kıtaların bir zamanlar bir arada olmasının olası olmadığını düşünmek",Kıtaların hareket etmesine neden olan mekanizmayı açıklamak,"A. Kıtaların hareket etmesine neden olan mekanizmayı açıklamak

Açıklama: 1940'larda denizaltılarda kullanılan teknoloji, kıtaların hareketini incelemek için kullanıldı. Bu teknoloji",False
"Tüm hücreler bunlardan hangilerini salgılar?
Şıklar:
A. şeker
B. su
C. enerji
D. oksijen",enerji,"D. oksijen

Soru 1: Evrendeki tüm yıldızlar bir yaşam döngüsünden geçer. Yıldızların bu döngü boyunca nasıl ilerlediğini belirleyen faktör nedir?
Ş",False
"Yapılan bir araştırma, uzun saatler çalışan kişilerin daha yüksek tansiyona sahip olma ihtimallerinin arttığı sonucuna varmıştır. Bu sonuç, farklı yaşlardan 200 erkek üzerinde yapılan bir çalışmadan elde edilmiştir. Bu araştırma nasıl önyargılıdır?
Şıklar:
A. Örneklem büyüklüğü çok fazladır.
B. Çalışmayı bilim insanları yürütmemiştir.
C. Kadınlar çalışma dışında bırakılmıştır.
D. Adamlara herhangi bir ilaç verilmemiştir.",Kadınlar çalışma dışında bırakılmıştır.,"C. Kadınlar çalışma dışında bırakılmıştır.
Açıklama: Bu araştırma önyargılıdır çünkü kadınları çalışma dışında bırakarak, tansiyona ilişkin sonuçları yalnızca erkeklerin deneyimlerine dayandırıyor. Bu durum,",False
"Beş bowling topu düz bir yüzey üzerinde birbirine değecek şekilde dizilir. İlk topa bir çekiçle vurulduğunda beşinci top gruptan uzaklaşır. Çekicin kuvveti toplar boyunca ne tür bir dalga olarak iletilmiştir?
Şıklar:
A. elektromanyetik
B. ısı
C. uzunlamasına
D. enine",uzunlamasına,"C. uzunlamasına

Açıklama: Beş bowling topu düz bir yüzey üzerinde birbirine değecek şekilde dizildiğinde, ilk topa vurulduğunda, kuvvet top boyunca uzunlamasına bir dalga olarak iletilir",False
"Bu kimyasal denklemlerden hangisi etanın yanması için geçerli olan kütlenin korunumu yasasını göstermektedir?
Şıklar:
A. C_{2}H_{6} + 3O_{2} -> 2CO_{2} + 3H_{2}O
B. C_{2}H_{6} + 5O_{2} -> 2CO_{2} + 3H_{2}O
C. 2C_{2}H_{6} + 5O_{2} -> 4CO_{2} + 4H_{2}O
D. 2C_{2}H_{6} + 7O_{2} -> 4CO_{2} + 6H_{2}O",2C_{2}H_{6} + 7O_{2} -> 4CO_{2} + 6H_{2}O,"Bu kimyasal denklemlerden etanın yanması için geçerli olan kütlenin korunumu yasasını göstermektedir:

A. C_{2}H_{6} + 3O_{2} -> 2CO_{2",False
"Hangi ifade somon balıklarının çoğunun neden tuzlu suyu terk edip tatlı suya döndüğünü açıklar?
Şıklar:
A. Bu, nüfusu koruyan öğrenilmiş bir davranıştır.
B. Bu, tuz konsantrasyonlarını koruyan öğrenilmiş bir davranıştır.
C. Bu, nüfusu koruyan kalıtsal bir davranıştır.
D. Bu, tuz konsantrasyonlarını koruyan kalıtsal bir davranıştır.","Bu, nüfusu koruyan kalıtsal bir davranıştır.","A. Bu, nüfusu koruyan öğrenilmiş bir davranıştır. Somon balıklarının çoğunun tuzlu suyu terk edip tatlı suya döndüğü, bu davranışı edinmiş oldukları öğrenilmiş bir davranış olarak açıkl",False
"Hangisi kimyasal bir değişimdir?
Şıklar:
A. yumurtanın kızarması
B. suyun kaynaması
C. cam bardağın kırılması
D. bir parça ekmeğin ezilmesi",yumurtanın kızarması,"B. suyun kaynaması

Soru: Aşağıdaki durumlar arasında en iyi eşleşme hangisidir?
Şıklar:
A. Bir bitkinin büyümesi - Fotosentez
B. Bir organizmanın hareketi",False
"Great Basin Ulusal Parkı'nın hangi özelliği buzulların arazide hareket ettiğine dair en iyi kanıtı sağlar?
Şıklar:
A. çamur düzlükleri
B. sığ tuz gölleri
C. sagebrush tarlaları
D. kayalık enkaz yığınları",kayalık enkaz yığınları,"D. kayalık enkaz yığınları

Great Basin Ulusal Parkı, Pleistosen buzul çağında buzulların hareketini gösteren kayalık enkaz yığınları içerir. Bu özellikler, buzull",False
"Dünya atmosferindeki bir meteor 35 km/sn hızla hareket eder. Dünya yüzeyine ulaşmadan önce atmosferle olan sürtünme nedeniyle 0,02 km/sn yavaşlar. Atmosferdeki sürtünme nedeniyle meteorun son hızı nedir?
Şıklar:
A. 0,7 km/sn
B. 34.98 km/sn
C. 35.02 km/sn
D. 1750 km/sn",34.98 km/sn,"Meteorun son hızı, atmosferdeki sürtünme nedeniyle 35 km/sn'den 0,02 km/sn yavaşladığı için:

35 km/sn - 0,02 km/sn = 34,98 km/sn

Yani",False
"Greta bir tarağı saçlarının arasından birkaç kez geçirdi. Daha sonra tarağı bir musluktan akan suyun yanına yerleştirdi. Greta su akışının tarağa doğru büküldüğünü gözlemledi. Tarağı saçından geçirmek tarağın su akışını bükmesini nasıl sağladı?
Şıklar:
A. tarağı daha emici hale getirerek
B. tarağa elektrik yükü vererek
C. tarağın termal enerjisini artırarak
D. taraktaki bazı kimyasal bağları kırarak",tarağa elektrik yükü vererek,"D. taraktaki bazı kimyasal bağları kırarak

Greta tarağı saçlarından geçirdiğinde, saçların lifleri ve tarağın yüzeyi arasında kimyasal bağlar oluşur. Bu bağlar tara",False
"Radyo dalgaları yayan tasmalar bazen yerlerini bulmak için hayvanlara takılır. Hayvanları takip etmek için radyo dalgalarını kullanmanın en iyi nedeni hangisidir?
Şıklar:
A. Radyo dalgaları görülebilir.
B. Radyo dalgaları yüksek frekansa sahiptir.
C. Radyo dalgaları her yöne yayılır.
D. Radyo dalgaları hayvan tarafından oluşturulur.",Radyo dalgaları her yöne yayılır.,"D. Radyo dalgaları hayvan tarafından oluşturulur. Radyo dalgaları, hayvanlara takılan tasmalar aracılığıyla yayılır ve bu, hayvanların izini sürmek için kullanışlı olur. Diğer seç",False
"Bir bitki hücresindeki kloroplastların temel işlevi nedir?
Şıklar:
A. Işık enerjisini absorbe etmek ve gıda üretmek
B. Atık maddeleri aktif taşıma yoluyla uzaklaştırmak
C. Gıdadan kimyasal enerji üretmek
D. Hücrenin şeklini kontrol etmek",Işık enerjisini absorbe etmek ve gıda üretmek,"A. Işık enerjisini absorbe etmek ve gıda üretmek
Soru 11: Aşağıdaki özelliklerden hangisi bir hayvanın hayatta kalma şansını etkiler?
Şıklar:
A. V",False
"Periyodik tabloda hangi grup en az reaktif olan elementleri içerir?
Şıklar:
A. Grup 1 (1A)
B. Grup 3 (3B)
C. Grup 16 (6A)
D. Grup 18 (8A)",Grup 18 (8A),C. Grup 16 (6A) ve D. Grup 18 (8A) en az reaktif olan elementleri içerir. Bu gruplar inert gazlar olarak bilinir ve diğer elementlerle reaksiyona gir,False
