question,true_answer,predicted_answer,is_correct
"[başlık] Tıbbi izin mektubu nasıl yazılır? [başlık] Mektubunuzu biçimlendirin. [adım] Mektubunuzu aşağıdaki gibi ayarlayabilirsiniz. Okunabilir bir yazı tipi kullandığınızdan emin olun.
Şıklar:
A. Örneğin, Times New Roman veya Arial 12 punto en iyi sonucu verir. Mektubu, yayınlanmasını istediğiniz kayıtları tutan doktora veya tıbbi sağlayıcıya gönderebilirsiniz.
B. Çoğu tıbbi taburcu mektubunun, harflerin üst kısmında kenar boşlukları vardır. Örneğin, mektubunuz şöyle olabilir: ""benim adım Michael Doe..."".
C. Örneğin, times new roman 12 punto veya arial 12 punto kullanın. Bir iş mektubunda mektubunuzu tek kelimelik bir belge olarak biçimlendirmelisiniz.
D. [alt adımlar] Times new roman 12 punto, onu doktor mektubu gibi gösterecek, ancak italik harflerle. Adresinizi sağ üst köşeye iki kat boşluk bırakın.","Örneğin, Times New Roman veya Arial 12 punto en iyi sonucu verir. Mektubu, yayınlanmasını istediğiniz kayıtları tutan doktora veya tıbbi sağlayıcıya gönderebilirsiniz.","A. Örneğin, Times New Roman veya Arial 12 punto en iyi sonucu verir. Mektubu, yayınlanmasını istediğiniz kayıtları tutan doktora veya tıbbi sağlayıcıya gönderebilirsiniz.",False
"[header] Şarap spritzer'ı nasıl yapılır [title] Şarabı iyice soğutun. [adım] Spritzerinizin soğuk olmasını istiyorsunuz, bu nedenle aşırı soğutulmuş beyaz şarapla başlamak önemlidir. Kokteyli yapmadan önce yeterince soğuk olduğundan emin olmak için 3 ila 4 saat buzdolabına veya 1 ila 2 saat dondurucuya koyun.
Şıklar:
A. [alt adımlar] Şarabınızı iyice soğutmanın anahtarı, herhangi bir ekstrakt eklemeden önce şarabın sıcaklığını güvenli bir seviyede tutmaktır. Eğer bardağa sadece bir buz küpü ekliyorsanız şarabı süzmek o kadar da önemli değildir.
B. [alt adımlar] Dondurucuda saklanabilen cam şişeler kullanın. İçerideki sıvının alttan kaçabilmesini ve böylece tamamen serin kalmasını istiyorsunuz.
C. [alt adımlar] Şarabın yeterince soğuk olduğunu, içine döktüğünüz bardak donduğunda anlayacaksınız. [title] Şarabı bir bardağa dökün ve üzerine soda ekleyin.
D. [alt adımlar] Vintage köpüklü şarap, dondurulduğunda köpüklü bir his verebilir, bu nedenle soğutulmuş köpüklü şarap, bir kokteylle başarılı olmaya yetecek kadar dayanmayacaktır. [title] İsterseniz buz ve brendi ekleyin.","[alt adımlar] Şarabın yeterince soğuk olduğunu, içine döktüğünüz bardak donduğunda anlayacaksınız. [title] Şarabı bir bardağa dökün ve üzerine soda ekleyin.",B. [alt adımlar] Dondurucuda saklanabilen cam şişeler kullanın. İçerideki sıvının alttan kaçabilmesini ve böylece tamamen serin kalmasını istiyorsunuz.,False
"[başlık] Tutkal tabancası nasıl yapılır [başlık] Düz bir tabaka elde etmek için bir soda kutusunu parçalayın. [adım] Bir kola kutusunun üstünü ve altını kesmek için maket bıçağı kullanın. Düz bir tabaka oluşturacak şekilde tüpü kesmek için bir makas kullanın.
Şıklar:
A. [alt adımlar] Gazoz kutusunun temiz olduğundan emin olun. Metali kesmeden önce veya sonra temizleyebilirsiniz.
B. Düz levha şişelerin kurumasına yardımcı olacaktır. [başlık] İzopropil alkol ve sıvı sabunu karıştırın.
C. [alt adımlar] İsterseniz gazoz kutusunu kendi hazırladığınız gibi süsleyebilirsiniz. [başlık] Gazoz kutusunun üstüne bir delik açın.
D. [title] Temeliniz olacak kağıdın üzerine kurşun kalemle bir işaret koyun. [adım] Kağıdınızın boş tarafının bir ucunu sivri kenarla hizalayın ve diğer taraftan dışarı çıkan küçük tüp parçalarıyla doldurun.",[alt adımlar] Gazoz kutusunun temiz olduğundan emin olun. Metali kesmeden önce veya sonra temizleyebilirsiniz.,A. [alt adımlar] Gazoz kutusunun temiz olduğundan emin olun. Metali kesmeden önce veya sonra temizleyebilirsiniz.,False
"[header] Dondurulmuş somon nasıl pişirilir [title] Somon filetolarını dondurucudan çıkarın. [adım] Biriken buzları gidermek için bunları soğuk suyla iyice durulayın. Kağıt havluyla kurulayın.
Şıklar:
A. [title] Filetonun her iki tarafını da zeytinyağı veya başka bir favori yağla fırçalayın. [adım] Tereyağı veya hindistancevizi yağı kullanmaktan kaçının çünkü yüksek ısıda yanma olasılıkları vardır.
B. Her filetoyu küçük bir tabağa koyun. [başlık] Soya sosunu büyük bir tavada soteleyin.
C. Daha sonra her filetoyu dilimler halinde kesin. [title] Filetoları oklavayla çıkarın ve tuz ve taze çekilmiş karabiberle tatlandırın.
D. [alt adımlar] Kemikleri kırmak ve etli etleri çıkarmak için somona hafifçe vurun. Daha sonra somonu ısırık büyüklüğünde parçalar halinde kesin.",[title] Filetonun her iki tarafını da zeytinyağı veya başka bir favori yağla fırçalayın. [adım] Tereyağı veya hindistancevizi yağı kullanmaktan kaçının çünkü yüksek ısıda yanma olasılıkları vardır.,A. [title] Filetonun her iki tarafını da zeytinyağı veya başka bir favori yağla fırçalayın. [adım] Tereyağı veya hindistancevizi yağı kullanmaktan kaçının çünkü yüksek ısıda yanma olasılıkları vardır.,False
"Bir bayan parkta bedava hediyeler atıyor. köpek
Şıklar:
A. Bedavalar için hileler yapıyor.
B. ağzında bedava yiyeceklerle parkta dolaşıyor.
C. kadının etrafında gelişigüzel dolaşıyor.
D. Bayanın attığı hediyeleri getiriyor.",Bayanın attığı hediyeleri getiriyor.,C. kadının etrafında gelişigüzel dolaşıyor.,False
"[header] Saklama kutusu nasıl dekore edilir [title] Yüzeyi yumuşak sabun ve suyla yıkayın. [adım] Boya temiz yüzeylere en iyi şekilde yapışır. Kutuyu birkaç damla yumuşak bulaşık sabunu ile karıştırılmış ılık suyla silin, ardından iyice durulayın.
Şıklar:
A. Kutuyu bir havluyla kurutabilir veya açık havada kurumaya bırakabilirsiniz; devam etmeden önce yüzeyin tamamen kuru olduğundan emin olun. [title] Çalışma yüzeyinizi korumak için gazete veya plastik serin.
B. [title] Yüzeyi kağıt havlu veya küçük bir havlu kullanarak kurulayın. [adım] Yüzeyinizi kurutduğunuz anda lekeler veya diğer kirlilikler ortadan kalkacaktır.
C. Bir fırça ve en sevdiğiniz sabunla iyice fırçalayın ve kurumasını bekleyin. [alt adımlar] Sıradan ev tipi ev temizleyicileri boya lekelerini çıkarmaz; işlemi geciktirecek ve yüzeye zarar verebilecektir.
D. [alt adımlar] Sıvının boyalı yüzeyden neredeyse çıkması gerekir. Hala yağlı bir görünüm varsa kutuyu ve karton tabanını ılık su ve yumuşak bulaşık sabunu karışımına batırın.",Kutuyu bir havluyla kurutabilir veya açık havada kurumaya bırakabilirsiniz; devam etmeden önce yüzeyin tamamen kuru olduğundan emin olun. [title] Çalışma yüzeyinizi korumak için gazete veya plastik serin.,B. [title] Yüzeyi kağıt havlu veya küçük bir havlu kullanarak kurulayın. [adım] Yüzeyinizi kurutduğunuz anda lekeler veya diğer kirlilikler ortadan kalkacaktır.,False
"[header] 1 Nisan şakası nasıl yapılır [title] Bunu kişinin rahat edebileceği bir yere yerleştirin. [adım] Yani, kişinin normal rutininin bir parçası olan bir yer seçin. Şakanın kendilerine gelmesi yerine onları gelmeye ikna etmeye çalışırsanız, özellikle 1 Nisan'da şüphelenme olasılıkları daha yüksektir.
Şıklar:
A. Ayrıca, orada kazanabilecek olsanız bile, tanımadıkları biriyle karşılaşırsanız 1 Nisan'dan önce muhtemelen sizden şüphelenmeye başlayacaklardır. [title] Yapmak istediğiniz her şeyi şakaya bağlayın.
B. [alt adımlar] Örneğin, şakayı en rahat oldukları ev veya iş yerinde yapın. Örneğin sizinle bir yerde buluşmalarını veya dışarı çıkmalarını isterseniz şüphelenebilirler.
C. Daha rahat olan insanlar daha başarılı olabilir. [alt adımlar] Şakayı park, yemyeşil orman veya diğer insanların etrafı gibi nispeten sessiz bir yere yerleştirin.
D. [title] Vücudunuzdaki adrenalini önceden artırın. [adım] Ayrıca hazırlık sırasında aklınızdan geçen her küçük şeye dikkat edin.","[alt adımlar] Örneğin, şakayı en rahat oldukları ev veya iş yerinde yapın. Örneğin sizinle bir yerde buluşmalarını veya dışarı çıkmalarını isterseniz şüphelenebilirler.","B. [alt adımlar] Örneğin, şakayı en rahat oldukları ev veya iş yerinde yapın. Örneğin sizinle bir yerde buluşmalarını veya dışarı çıkmalarını isterseniz şüphelenebilirler.",False
"[header] Doğum gününüzde depresyondan nasıl kaçınılır [title] Hoşunuza giden bir şey yapın. [adım] Doğum gününüzde kendinize üzülmek yerine harekete geçin. Başka birinin sizi mutlu etmesini beklemeyin.
Şıklar:
A. Büyük veya ayrıntılı bir şey yapmanıza gerek yok. Her zamanki rutininizden farklı bir şey denemeyi düşünün.
B. Harekete geçmek, yaşamınızda ve önünüze çıkan her şeyde ilerlemenize yardımcı olacaktır. [alt adımlar] Başınızın üzerine rahat bir battaniye koymayı ve battaniyenin üzerinde çiçekler olan bir yastığı oyuncak ayı gibi tutmayı deneyin.
C. Kendinizi mutlu edecek ve depresyona girme olasılığınızı azaltacak bir şeyler yapın. En sevdiğiniz mağazalara göz atın, kitap okuyun, film izleyin, dergilere yazın, rahatlama fırsatları bulun, yeni anılar yaratın.
D. Bu vazgeçmemek, bu da hayatı çok zorlaştırıyor. [alt adımlar] Sizi mutlu eden bir şeyden gerçekten keyif almanız ve bunu yapmanız önemlidir.",Büyük veya ayrıntılı bir şey yapmanıza gerek yok. Her zamanki rutininizden farklı bir şey denemeyi düşünün.,"C. Kendinizi mutlu edecek ve depresyona girme olasılığınızı azaltacak bir şeyler yapın. En sevdiğiniz mağazalara göz atın, kitap okuyun, film izleyin, dergilere yazın, rahatlama fırsatları bulun, yeni anılar yaratın.",False
"[header] Deri iç mekan nasıl temizlenir? [title] İç mekanınızı her ay silin. [adım] Derinin içini çok kirlendiğinde temizlemek daha zor olduğundan, deriyi her ay silmeyi deneyin. Önce yumuşak bir bez ve suyla en nazik yöntemi kullanın; kir inatçıysa ikinci olarak çok amaçlı bir temizleyici kullanın.
Şıklar:
A. [title] Bir bezi spreyli beyazlatıcı solüsyonla nemlendirin ve iç mekanınızı silin. [adım] Çözeltiye iyice batırılmış bir bezle başlayın.
B. [title] Gevşek kiri plastik bir aparatla süpürün. [adım] Biriken kir yüzeye sürtündüğü için derinin iç kısmını aşındırır.
C. Sünger ve bezlerden kaçının ve en son çok amaçlı bir temizleyici kullanın. [title] İnatçı lekelere dairesel hareketlerle uygulayın.
D. Seçtiğiniz temizleyiciyi alın ve lekeyi süetle aynı yönde ovalayın. Yumuşak kıllı bir fırçayla fırçalayın.",[title] Gevşek kiri plastik bir aparatla süpürün. [adım] Biriken kir yüzeye sürtündüğü için derinin iç kısmını aşındırır.,A. [title] Bir bezi spreyli beyazlatıcı solüsyonla nemlendirin ve iç mekanınızı silin. [adım] Çözeltiye iyice batırılmış bir bezle başlayın.,False
"Çeşitli malzemeler gösteriliyor ve kişi malzemeleri bir kasede karıştırıyor. Kişi tüm malzemeleri karıştırır ve pişirmek için bir tencereye koyar. kekler
Şıklar:
A. daha sonra fırına gönderilir ve sergilenmeden önce smoothie'ler yapmak için fermente edilir.
B. Sonunda pişirilir ve tadını çıkarmak için bir tabağa konur.
C. Daha sonra çıkarılır ve karıştırılır.
D. artık tamamen kahverengileşmiştir ve kişi bunları karışıma ekler.",Sonunda pişirilir ve tadını çıkarmak için bir tabağa konur.,B. Sonunda pişirilir ve tadını çıkarmak için bir tabağa konur.,False
"[header] Aupair nasıl kiralanır? [title] Ajansları arayın. [adım] Bir çocuk bakıcısı kiralarken bir acenteden geçmek önemlidir. Geçmiş kontrolleri yapacaklar ve röportajlarda size yardımcı olacaklar.
Şıklar:
A. Bu kontroller size bölgenizdeki lisanslı kurum hakkında dürüst ve güncel bilgiler sağlayacaktır. Çoğu acente evden çalışır, ancak kendi başınıza bir aupair kiralayabileceğiniz zamanlar da vardır.
B. Uygun acenteyi bulduğunuzda evinizde 1 veya 2 aupair'in bulunması da iyi bir fikirdir. [alt adımlar] İhtiyaçlarınıza en uygun kimlik bilgilerine ve referanslara sahip ajansları seçin.
C. Ayrıca, au-pair'in ABD'de çalışmak için belirli bir vizeye ihtiyacı olacağından, au-pair kiralamanın yasal tarafıyla da ilgilenebilirler, bu da sizin için işi çok daha kolaylaştırır. ayrıca hem size hem de aupair'e destek sağlarlar ve bu da faydalıdır.
D. Ayrıca bir sonraki iş arayışınıza hazırlanmanıza da yardımcı olacaklar, bu da hayallerinize gerçekten uyan birini bulmanızı çok daha kolay hale getirecek. [alt adımlar] Kimi işe almanız gerektiğini öğrenmek için yerel gazetenize bir ilan verin.","Ayrıca, au-pair'in ABD'de çalışmak için belirli bir vizeye ihtiyacı olacağından, au-pair kiralamanın yasal tarafıyla da ilgilenebilirler, bu da sizin için işi çok daha kolaylaştırır. ayrıca hem size hem de aupair'e destek sağlarlar ve bu da faydalıdır.","A. Bu kontroller size bölgenizdeki lisanslı kurum hakkında dürüst ve güncel bilgiler sağlayacaktır. Çoğu acente evden çalışır, ancak kendi başınıza bir aupair kiralayabileceğiniz zamanlar da vardır.",False
"Hayalet tişört giyen bir adam bira pong oyunu oynuyor. O
Şıklar:
A. gözlerini yıkar ve ardından birayı sürahiden bardağa damlatmaya başlar.
B. Yüzüne maske takan bir adamla kavga etti.
C. Dört bardağı sıralayarak topları bardakların içine atıyor.
D. tokmak kullanarak topları sürekli olarak çevresinde duran insanlara art arda fırlatıyor.",Dört bardağı sıralayarak topları bardakların içine atıyor.,C. Dört bardağı sıralayarak topları bardakların içine atıyor.,False
"Bir adam garajın içinde duruyor. Saksafon çalmaya başlar. O
Şıklar:
A. oynamaya devam ederken ileri geri eğilir.
B. garajdaki bir adama katılır.
C. çalmaya devam ederken saksafonun ucunu emiyor.
D. Oynarken bir kedi ve köpeği de yanında götürüyor.",oynamaya devam ederken ileri geri eğilir.,C. çalmaya devam ederken saksafonun ucunu emiyor.,False
